dataset_name,euc_dist_test_acc,euc_dist_train_acc,test_acc,train_acc,Expected_gain,Actual_Gain
0,Two_Patterns,91.0,91.7,46.5,54.6,0.5954198473282443,0.510989010989011
1,ChlorineConcentration,65.0,63.4,56.7,61.2,0.9652996845425869,0.8723076923076923
2,wafer,99.5,99.0,100.0,100.0,1.0101010101010102,1.0050251256281406
3,MedicalImages,68.4,72.2,53.9,100.0,1.3850415512465373,0.7880116959064326
4,FaceAll,71.4,88.7,28.9,100.0,1.1273957158962795,0.4047619047619047
5,OSULeaf,51.7,62.0,54.9,1.0,0.016129032258064516,1.0618955512572532
6,Adiac,61.1,60.5,35.2,100.0,1.6528925619834711,0.5761047463175123
7,SwedishLeaf,78.7,75.0,56.3,99.8,1.3306666666666667,0.7153748411689961
8,yoga,83.0,77.0,61.0,100.0,1.2987012987012987,0.7349397590361446
9,Fish,78.3,76.0,46.8,100.0,1.3157894736842106,0.5977011494252873
12,Trace,76.0,84.0,98.0,1.0,0.011904761904761904,1.2894736842105263
13,synthetic_control,88.0,91.3,40.0,98.6,1.0799561883899234,0.45454545454545453
14,FacesUCR,76.9,75.5,37.9,95.5,1.2649006622516556,0.49284785435630685
15,CinC_ECG_torso,89.7,85.0,77.1,100.0,1.1764705882352942,0.8595317725752507
16,MALLAT,91.4,98.2,70.2,100.0,1.0183299389002036,0.7680525164113785
17,Symbols,90.0,84.0,79.5,100.0,1.1904761904761905,0.8833333333333333
18,Coffee,100.0,100.0,96.4,1.0,0.01,0.9640000000000001
19,ECG200,88.0,86.0,1.0,1.0,0.011627906976744186,0.011363636363636364
20,FaceFour,78.4,66.7,40.9,100.0,1.4992503748125936,0.5216836734693877
21,OliveOil,86.7,90.0,70.0,100.0,1.1111111111111112,0.8073817762399077
22,Gun-Point,91.3,96.0,92.6,98.0,1.0208333333333333,1.0142387732749178
23,Beef,53.3,50.0,46.6,93.3,1.8659999999999999,0.8742964352720451
24,DiatomSizeReduction,93.5,93.7,68.9,100.0,1.0672358591248665,0.7368983957219252
25,CBF,85.2,83.3,61.2,63.3,0.7599039615846338,0.7183098591549296
26,ECGFiveDays,79.7,82.6,72.5,78.2,0.9467312348668282,0.9096612296110413
27,TwoLeadECG,74.7,78.3,90.5,95.6,1.2209450830140485,1.2115127175368139
28,SonyAIBORobotSurfaceII,85.9,85.2,71.4,96.2,1.1291079812206573,0.8311990686845169
29,Motes,87.9,75.0,90.0,100.0,1.3333333333333333,1.023890784982935
30,ItalyPowerDemand,95.5,95.5,90.0,100.0,1.0471204188481675,0.9424083769633508
31,SonyAIBORobotSurface,69.5,90.0,71.4,96.2,1.068888888888889,1.027338129496403
