Names,accuracy,recall,precision,f1,corrcoef,Models,AE
FreezerRegularTrain,0.986666666666667,0.986666666666667,0.986682005613227,0.986666561607872,0.973348672159031,XGBClassifier,0
StarLightCurves,0.955925206410879,0.955925206410879,0.955706239330776,0.955717498514657,0.92205912510244,RandomForestClassifier,0
TwoLeadECG,0.923617208077261,0.923617208077261,0.924568414839848,0.923572669903114,0.848181789437508,CatBoostClassifier,0
BeetleFly,0.9,0.9,0.916666666666667,0.898989898989899,0.816496580927726,XGBClassifier,0
ProximalPhalanxOutlineAgeGroup,0.853658536585366,0.853658536585366,0.790316417743937,0.81882482566213,0.741851920623665,SVC,0
Meat,0.85,0.85,0.85846258157471,0.851959953551141,0.777270354309349,CatBoostClassifier,0
ToeSegmentation2,0.815384615384615,0.815384615384615,0.765323565323565,0.757408109132247,0.144833833661427,CatBoostClassifier,0
PowerCons,0.811111111111111,0.811111111111111,0.811726867887185,0.811017786561265,0.622837674620181,CatBoostClassifier,0
BirdChicken,0.8,0.8,0.857142857142857,0.791666666666667,0.654653670707977,KNeighborsClassifier,0
Chinatown,0.798833819241983,0.798833819241983,0.800906597776867,0.799804063870738,0.499515501637579,KNeighborsClassifier,1
ProximalPhalanxOutlineCorrect,0.759450171821306,0.759450171821306,0.751431475539658,0.737024483882272,0.396641296198654,XGBClassifier,1
OliveOil,0.733333333333333,0.733333333333333,0.726666666666667,0.728460038986355,0.620051386900696,RandomForestClassifier,0
HandOutlines,0.702702702702703,0.702702702702703,0.691195493946504,0.685867334515983,0.316381809309632,CatBoostClassifier,0
SemgHandGenderCh2,0.688333333333333,0.688333333333333,0.723567251461988,0.695366430260047,0.379604485158167,KNeighborsClassifier,0
BME,0.686666666666667,0.686666666666667,0.674424033179163,0.678495360187267,0.531525897837928,CatBoostClassifier,0
ItalyPowerDemand,0.645286686103013,0.645286686103013,0.647103774116974,0.644056785636722,0.292259402925782,SVC,1
CBF,0.636666666666667,0.636666666666667,0.626162042840666,0.606875275155931,0.478605397934131,XGBClassifier,0
Worms,0.636363636363636,0.636363636363636,0.654323203947264,0.636965643423362,0.495473405935744,XGBClassifier,0
LargeKitchenAppliances,0.632,0.632,0.630945266717624,0.630910731497242,0.448401948299259,RandomForestClassifier,0
Yoga,0.622,0.622,0.620992641426217,0.616496551724138,0.23419594432765,CatBoostClassifier,0
MiddlePhalanxOutlineAgeGroup,0.616883116883117,0.616883116883117,0.530391377330153,0.501195849068189,0.280165194811617,SVC,0
DistalPhalanxTW,0.58273381294964,0.58273381294964,0.449434737923947,0.500664411752561,0.464329029855289,SVC,0
RefrigerationDevices,0.562666666666667,0.562666666666667,0.571862349105793,0.560647307924985,0.348504846878841,SVC,0
FordB,0.548148148148148,0.548148148148148,0.548131730314276,0.547054029038363,0.095793845464262,RandomForestClassifier,0
Fish,0.525714285714286,0.525714285714286,0.547426015588422,0.525428998372224,0.451149104440154,CatBoostClassifier,0
ElectricDevices,0.521592530151731,0.521592530151731,0.504833858741022,0.506402620127399,0.413792909128603,CatBoostClassifier,0
TwoPatterns,0.47475,0.47475,0.474165253167017,0.473261050270973,0.299548393475466,CatBoostClassifier,0
UWaveGestureLibraryAll,0.455332216638749,0.455332216638749,0.450061025176176,0.440471367860158,0.381012685407651,XGBClassifier,0
UWaveGestureLibraryX,0.446677833612507,0.446677833612507,0.44754234622392,0.438402481093023,0.370178662461066,XGBClassifier,0
SyntheticControl,0.42,0.42,0.432551258763327,0.418347644315238,0.305985143446975,XGBClassifier,0
SmoothSubspace,0.413333333333333,0.413333333333333,0.412490345360256,0.410688013119734,0.120637037033482,SVC,0
MelbournePedestrian,0.388683886838868,0.388683886838868,0.35967934073733,0.367806834413882,0.322304392428456,CatBoostClassifier,0
UWaveGestureLibraryY,0.382747068676717,0.382747068676717,0.37893519859977,0.376378777628943,0.295717837196045,SVC,1
FacesUCR,0.379512195121951,0.379512195121951,0.377093361267869,0.36498182720431,0.321099758911865,XGBClassifier,0
EOGHorizontalSignal,0.306629834254144,0.306629834254144,0.318838654889285,0.281172530428715,0.248181746421446,SVC,1
WordSynonyms,0.304075235109718,0.304075235109718,0.216458127672071,0.194832114252914,0.194647728566655,SVC,1
CricketZ,0.294871794871795,0.294871794871795,0.293764426630494,0.288856358888544,0.231364481526816,RandomForestClassifier,0
CricketY,0.292307692307692,0.292307692307692,0.281295966317251,0.278609745497575,0.230038414531417,CatBoostClassifier,0
FaceAll,0.289940828402367,0.289940828402367,0.34109867668925,0.289794926892857,0.247633325244942,RandomForestClassifier,0
FiftyWords,0.285714285714286,0.285714285714286,0.232699920219294,0.228453414078452,0.236929091629745,RandomForestClassifier,0
InsectWingbeatSound,0.184848484848485,0.184848484848485,0.175761102514131,0.173893751889748,0.104131015776557,CatBoostClassifier,0
Phoneme,0.161919831223629,0.161919831223629,0.096710271143047,0.104463937552381,0.093878929379558,SVC,1
